"repository_url","age_days","forks","subscribers","stargazers","pull_requests","issues","comments","commits","contributors","followers"
https://api.github.com/repos/0x0ff/Ctoollhu,390,1,2,0,6,0,0,59,2,8
https://api.github.com/repos/13122614/Projects,212,4,1,0,9,0,0,65,4,0
https://api.github.com/repos/1lann/Mimic,224,7,7,12,5,52,1,246,3,8
https://api.github.com/repos/20tab/twentytab-select2,203,1,2,0,3,4,0,14,4,15
https://api.github.com/repos/20tab/twentytab-sortable,211,0,3,1,1,2,0,10,5,15
https://api.github.com/repos/20tab/twentytab-tcked,184,0,2,0,2,0,0,3,3,15
https://api.github.com/repos/2mac/calccmd,206,1,1,2,1,0,0,3,1,4
https://api.github.com/repos/2WheelCoder/ble-peripheral-manager,173,1,2,1,1,1,0,28,2,10
https://api.github.com/repos/3axap4eHko/OWA-Notifier,619,11,6,15,5,27,0,50,2,4
https://api.github.com/repos/3Hren/blackhole,276,7,3,4,9,22,2,1539,4,4
https://api.github.com/repos/3nids/qgiscombomanager,497,2,1,1,3,0,0,57,3,9
https://api.github.com/repos/5-say/laravel-4.1-quick-start-cn,251,30,13,102,2,1,0,100,2,60
https://api.github.com/repos/a-tsioh/kam-u-thiann-tioh,168,3,3,0,1,0,0,28,3,5
https://api.github.com/repos/a85/Newman,187,20,20,238,83,62,1,327,8,76
https://api.github.com/repos/aalmiray/gradle-plugins,191,9,4,6,30,53,0,99,10,144
https://api.github.com/repos/aaronbloomfield/pdr,254,47,21,28,23,26,0,389,6,15
https://api.github.com/repos/Aasmul/SWMH,175,5,5,4,17,0,0,46,6,0
https://api.github.com/repos/abbott221/robotRepo,190,1,1,0,19,2,1,110,3,2
https://api.github.com/repos/abdouziad1/WaSlider,171,3,1,0,5,0,0,11,2,0
https://api.github.com/repos/abernardi597/Tetris,174,4,5,1,8,1,0,42,3,0
https://api.github.com/repos/abrensch/brouter,238,5,5,9,10,13,2,67,3,1
https://api.github.com/repos/abstiles/deluminate,380,4,3,13,4,53,0,75,1,4
https://api.github.com/repos/acacha/ebre-escool,358,4,2,2,45,3,0,267,3,9
https://api.github.com/repos/accessd/rails-settings-ui,425,8,1,7,5,10,0,56,3,16
https://api.github.com/repos/acdha/nose-congestion,731,2,1,4,6,3,0,16,4,161
https://api.github.com/repos/acrmp/foodcritic,1015,104,28,330,77,186,13,458,33,108
https://api.github.com/repos/AD7six/php-dsn,242,3,1,4,4,4,0,111,4,345
https://api.github.com/repos/AdamBrousseau/Capstone,214,4,1,0,35,0,1,254,5,2
https://api.github.com/repos/adamchainz/ProgrammingInterview,226,1,4,2,9,1,0,66,2,10
https://api.github.com/repos/adamkennedy/PPI,273,9,10,20,26,64,6,267,10,69
https://api.github.com/repos/adamlc/address-format,388,8,1,13,2,0,0,16,2,2
